study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
transciptiome of human primary resting cd4 t lymphocytes infected with hiv-1,null,null,null,human,null
dynamics of hiv latency and reactivation in a primary cd4+ t cell model,null,t-lymphocyte,t cell,cell,null
laminin-guided highly efficient endothelial commitment from human pluripotent stem cells [single cell rna-seq],endotheliitis,stem,cell,human,rna
"a promoter level mammalian expression atlas (human, rna-seq)",null,null,vertebral bone 1,human,rna
rna-seq data for five her2 over-expressed samples with twelve green fluorescent protein control samples using human mammary epithelial cells,null,null,protein,protein,rna
"circular rnas in the mammalian brain are highly abundant, conserved, and dynamically expressed",null,brain,brain,null,null
the rectal mucosal transcriptome of men who have sex with men (msm) engaging in condomless receptive anal intercourse (crai) compared with men who have never engaged in anal intercourse (controls),multiple endocrine neoplasia,null,null,null,null
global gene expression profiles of cardiac progenitors differentiated from human pluripotent stem cells in 3d culture under simulated microgravity,null,stem,null,human,null
recurrent alterations of tnfaip3 (a20) in t-cell large granular lymphocytic leukemia,t-cell large granular lymphocyte leukemia,t-lymphocyte,t cell,t-cell large granular lymphocytic leukemia,null
amnion as a surrogate tissue reporter of the effects of maternal preeclampsia on the fetus [rna-seq],preeclampsia,amnion,amnion,tissue,rna
safety and efficacy of the jak inhibitor tofacitinib citrate for alopecia areata and variants,alopecia areata,null,null,alopecia areata,tofacitinib
an integrated model of the transcriptome landscape of her2-positive breast cancer,breast cancer,breast,breast,breast cancer,null
an electrical pulse stimulation protocol to study acute epigenetic response to muscle cell contraction uncovers acute hydroxymethylation of the exercise-responsive gene nr4a3 [rna-seq],null,muscle fibre,muscle cell,cell,rna
genetic analysis of ikaros target genes and tumor suppressor function in bcr-abl1+ pre-b all [rna-seq],inherited,null,pigmented layer of retina,null,function
comparison of systematic sequencing errors using spike-in standards,null,spike,null,null,null
human schlafen 5 (slfn5) is a regulator of motility and   invasiveness of renal cell carcinoma (rcc) cells,renal cell adenocarcinoma,null,cell,human,null
effect of rest-003 downregulation on cancer invasiveness in mda-mb-231 cells using rna-sequencing (rna-seq) analysis .,cancer,null,null,cancer,rna
rna-seq in pws ipsc-derived neurons,prader-willi syndrome,null,null,null,rna
gene expression profiling of breast cancer cells with knockdown of pten,breast cancer,breast,breast,breast cancer,null
runx1 stabilizes the mammary epithelial cell phenotype and prevents epithelial to mesenchymal transition,null,mammary epithelial cell,mammary gland epithelial cell,cell,null
modeling the early phenotype at the neuromuscular junction of spinal muscular atrophy using patient-derived ipscs (rna-seq),spinal muscular atrophy,null,anatomical junction,spinal muscular atrophy,rna
reduced mitochondrial activity in colonocytes facilitates ampka2-dependent inflammation,null,null,null,activity,null
targeting c-myc by antagonizing pp2a inhibitors in breast cancer,breast cancer,breast,breast,breast cancer,null
"potent antitumor activity of cabozantinib, a c-met and vegfr2 inhibitor, in a colorectal cancer patient-derived tumor explant model",colorectal cancer,null,null,activity,cabozantinib
rna-seq analysis in hes/ ips cell-derived neuronal samples,hypereosinophilic syndrome,null,cell,cell,rna
lbo d25,null,null,null,null,null
modeling human brain evolution using induced pluripotent stem cells: comparative analysis of neuronal development in humans and chimpanzees,null,brain,brain,human,null
optimized sirnas with a minimal off-target effect facilitate the screening of essential genes in cancer cells,cancer,null,null,cancer,null
"using hescs to probe the interaction of cdkal1 and mt1e, two gwas identified diabetes associated genes",diabetes mellitus (disease),null,null,diabetes,null
lbo d170,null,null,null,null,null
evaluating side effects of nanoparticle-mediated sirna delivery to mesenchymal stem cells using next-generation sequencing and enrichment analysis,null,stem,null,delivery,null
"network-based, cross-cohort discovery of transcriptional mechanisms presiding over maintenance of high-risk neuroblastoma subtype state",neuroblastoma,null,null,neuroblastoma,null
identification of an nkx3.1-g9a-uty regulatory network that controls prostate differentiation (human_rwpe1_rna-seq),null,prostate gland,prostate gland,human,rna
transcritptome profiling of hasmcs under delta-133p53-overexpression and ang ii treatment,null,null,anterior nuclear group,null,treatment
"epigenetic regulation of the apoptosis program in t(8;21) amls by an aml1-eto, erg and runx1 triad",null,null,null,apoptosis,null
rna-seq of human pneumonias,null,null,null,human,rna
in vitro differentiation of human embryonic stem cells into ovarian follicle-like cells,null,stem,ovarian follicle,human,null
high-throughput rna sequencing on circular rna profiles of human bladder cancer tissues and normal bladder tissues,childhood bladder carcinoma,bladder,bladder organ,human,rna
hematoporphyrin derivative and x-ray treatment of human lung adenocarcinoma cells,lung adenocarcinoma,lung,lung,x-ray treatment,hematoporphyrin
connexin 32-mediated cell-cell communication is essential for hepatic differentiation from human embryonic stem cells,null,stem,cell,cell,null
global gene expression measurements in induced pluripotent stem cell (ipsc) derived motor neurons treated with various neurotrophic compounds,null,pluripotent stem cell,pluripotent stem cell,cell,null
the expression changes of rna binding proteins during human myeloid differentiation,null,null,null,human,rna
small rna discovery in developing mouse and during human in vitro beta-cell differentiation protocol,null,null,cell differentiation,human,rna
gene expression profiling of patient''s dcis-idc tandem lesions by rna sequencing analysis,ductal breast carcinoma in situ,null,null,null,rna
cfbe flip-in cells with cftr of varying genotypes,null,null,null,null,null
leucegene: aml sequencing (part 5),acute myeloid leukemia,null,null,null,null
rna-seq analysis of primary aml specimens exposed to ahr modulating agents,acute myeloid leukemia,null,anterior hypothalamic region,null,rna
"transcriptome data of cd34+ human cord blood-derived cell treated with um171, sr1 or both",null,umbilical cord blood,umbilical cord blood,human,null
"producing reference epigenomes of human gastrointestinal epithelial cells, vascular endothelial cells, and cells of reproductive organs",endotheliitis,null,null,human,null
activation of proto-oncogenes by disruption of chromosome neighborhoods [rna-seq],null,null,null,null,rna
mitochondrial unfolded protein response controls matrix pre-rna processing and translation,null,null,protein,protein,protein
comparison of poly(a) and capture rna-seq: controlled degradation in vitro,null,null,mature neutrophil,null,rna
rna-seq of human adipose tissue following n-3 pufa supplementation and evoked endotoxemia,null,adipose tissue,adipose tissue,human,rna
identification of differentially expressed transcripts and pathways one week and six months following implant of left ventricular devices,null,null,null,null,null
human single cells - local lung hypoxia determines epithelial fate decisions during alveolar regeneration,lung neoplasm,lung,lung,human,null
musashi-2 attenuates ahr signalling to expand human haematopoietic stem cells,null,stem,anterior hypothalamic region,human,null
rnaseq identified human transcriptome alterations in chinese nasopharyngeal carcinoma,nasopharyngeal carcinoma,null,null,human,null
interactions of acps with cytosine-rich polypyrimidine tracts enhance splicing of cassette exons,acrocephalopolysyndactyly,null,null,interactions,null
effect of ovo-like 1 knockdown on global transcript expression in differentiated bewo trophoblast cells,null,trophoblast,trophoblast,null,null
transcriptome of primitive human hematopoietic cells: a new resource to find hhsc-specific genes,null,null,null,human,null
genome-wide expression screening discloses long noncoding rnas involved in thyroid carcinogenesis,thyroid tumor,thyroid gland,thyroid gland,null,null
single-cell transcriptome profiling for metastatic renal cell carcinoma patient-derived cells [rna-seq],renal cell adenocarcinoma,null,cell,cell,rna
rna-seq of 50 paired hepatocellular carcinoma,hepatocellular carcinoma,null,null,hepatocellular carcinoma,rna
single cell transcriptomics analysis of induced pluripotent stem cell-derived cortical neurons reveals frequent dual layer identity,null,pluripotent stem cell,cell,cell,null
next generation sequencing identifying the dosage compensation state in human endometrial carcinoma and adjacent tissues,endometrial carcinoma (disease),null,null,human,null
leucegene: aml sequencing (part 2),acute myeloid leukemia,null,null,null,null
rna-seq transcriptome analysis of epidermal cd8+cd103+cd49a+ and cd8+cd103+cd49- t cells from healthy human skin,skin neoplasm,skin,skin epidermis,human,rna
methylomes and transcriptomes of human pluripotent-to-cardiomyocyte differentiation [rna-seq],null,cardiac muscle fiber,cardiac muscle cell,human,rna
"gene expression in panc-1 and aspc-1 human pancreatic carcinoma cells under hypoxia, nutrient starvation and low ph culture condition.",exocrine pancreatic carcinoma,culture condition,null,human,null
metastatic breast cancer sample sequencing,breast cancer,breast,breast,metastatic breast cancer,null
